Apples
10
10
10
11
12
10
10
15
10
10
11
12
8
9
10
7
9
7
10
18
11
8
10
10
8
8
9
12
13
13
10
9
9
7
10
11
14
10
8
9
9
10
9
7
10
9
11
9
11
17
13
9
9
9
12
9
11
12
10
10
8
13
11
7
11
14
10
9
7
10
12
9
8
9
8
8
12
12
7
9
12
8
12
8
8
8
8
9
8
9
7
10
11
9
10
11
11
8
15
10
7
12
9
14
8
12
9
15
9
10
13
10
11
10
10
7
12
8
15
11
14
8
15
8
9
14
13
9
10
10
10
8
8
12
16
8
9
13
7
11
10
14
8
9
14
8
7
8
9
15
9
7
9
8
8
11
8
8
8
10
10
17
11
8
8
12
9
9
11
11
9
10
10
11
11
13
8
9
8
9
9
8
11
11
11
9
13
8
10
13
10
13
10
9
9
8
12
13
9
13
10
11
9
12
13
8
10
8
11
12
8
12
9
15
9
12
9
12
13
16
14
12
9
10
14
9
8
11
13
9
8
8
10
10
19
9
10
8
12
9
10
13
8
10
9
8
13
10
8
10
11
14
9
12
9
8
10
11
9
15
10
9
8
8
11
9
11
7
9
12
13
8
10
9
8
10
13
9
8
11
10
8
11
11
8
10
8
8
11
8
10
14
9
7
12
10
7
11
11
14
10
10
7
15
11
10
10
8
9
8
9
14
10
9
7
8
7
18
11
14
12
7
11
11
11
11
10
10
11
10
15
13
8
9
18
13
12
10
11
8
9
9
9
11
9
10
8
10
11
7
9
12
8
15
8
10
9
12
13
9
7
7
10
9
14
14
9
9
13
9
11
10
8
10
14
9
9
14
13
9
9
9
13
8
11
7
7
8
9
9
16
9
8
8
9
9
12
8
11
8
11
14
12
9
8
8
11
9
10
12
9
11
13
7
15
11
12
11
14
8
8
18
8
9
10
14
9
13
8
12
10
7
8
12
12
8
9
8
11
10
9
8
9
11
10
12
14
7
10
14
8
10
9
9
8
11
15
15
7
14
8
8
12
10
10
13
9
9
12
9
8
9
11
10
10
8
9
11
10
8
10
10
7
16
13
9
9
10
9
8
14
11
11
13
12
12
12
11
7
9
10
7
13
17
11
9
12
11
10
13
10
10
11
12
12
8
10
11
14
9
9
10
9
10
10
11
13
10
11
11
10
9
14
8
13
10
10
18
7
8
8
7
10
10
7
11
10
9
9
11
11
11
8
8
11
15
10
11
13
10
8
9
12
10
8
11
10
13
10
8
20
10
9
8
8
12
14
10
12
12
9
10
7
14
11
15
14
17
8
14
14
11
10
9
8
7
14
12
11
12
9
11
9
13
8
15
11
9
11
9
10
11
11
7
12
9
9
8
9
8
10
10
10
9
10
9
9
10
12
9
9
10
11
10
11
11
8
9
9
9
7
10
15
12
10
9
18
8
11
11
7
11
8
11
12
8
8
11
11
11
9
9
7
13
8
7
10
11
8
10
13
11
12
9
13
12
9
10
16
10
11
15
11
9
9
9
9
8
9
7
8
12
14
8
11
13
15
8
8
9
9
13
9
8
8
14
13
10
9
14
13
18
10
15
9
7
11
10
11
9
14
11
10
11
10
11
7
10
14
15
9
7
8
8
12
9
10
11
13
12
11
9
12
9
10
9
11
9
11
10
8
8
13
14
12
8
11
10
8
8
9
11
14
9
10
9
8
7
8
13
7
11
8
10
8
12
8
14
10
8
10
16
9
9
9
12
10
10
8
12
8
10
8
10
11
13
11
11
11
10
9
14
8
11
11
7
8
12
11
13
9
9
11
10
9
12
9
10
10
7
12
12
13
10
8
14
10
9
9
8
7
14
9
13
9
13
8
8
12
12
7
10
13
12
12
8
9
10
8
9
8
9
10
8
7
13
8
13
16
9
21
12
8
11
11
10
12
9
9
12
12
12
9
9
10
11
7
10
9
13
12
8
8
7
8
10
11
14
7
10
13
13
13
12
10
11
12
11
16
10
8
10
11
9
8
15
13
10
11
10
10
8
12
9
9
9
11
9
10
12
10
11
9
8
11
10
12
8
10
8
10
10
13
10
9
10
10
12
14
9
13
8
10
11
10
12
9
8
8
11
9
8
12
14
10
12
10
10
12
10
11
8
12
8
12
16
9
10
9
8
10
10
11
10
8
10
8
9
10
8
9
12
9
15
7
10
11
10
8
12
11
9
